year_month,district,okrug,secondary_price_per_sqm,newbuild_price_per_sqm,rental_price_per_sqm_monthly,n_listings_secondary,n_listings_newbuild,n_listings_rental,cbr_key_rate_pct,avg_mortgage_rate_pct
2020-01,Arbat,CAO,480000,543700,2000,104,68,41,6.0,8.5
2020-02,Arbat,CAO,469100,531500,1955,22,63,50,6.0,8.5
2020-03,Arbat,CAO,502200,559800,2093,104,56,28,6.0,8.5
2020-04,Arbat,CAO,505100,541500,2104,168,29,107,4.25,6.75
2020-05,Arbat,CAO,523500,594800,2181,66,58,57,4.25,6.75
2020-06,Arbat,CAO,515700,563900,2149,182,29,81,4.25,6.75
2020-07,Arbat,CAO,499300,560800,2081,63,17,115,4.25,6.75
2020-08,Arbat,CAO,531700,582700,2215,73,28,114,4.25,6.75
2020-09,Arbat,CAO,530700,575500,2211,148,20,42,4.25,6.75
2020-10,Arbat,CAO,551200,595900,2297,166,43,100,4.25,6.75
2020-11,Arbat,CAO,565400,618200,2356,159,69,98,4.25,6.75
2020-12,Arbat,CAO,522200,567500,2176,55,18,89,4.25,6.75
2021-01,Arbat,CAO,579900,630400,2416,118,55,28,4.25,6.75
2021-02,Arbat,CAO,584900,637100,2437,112,6,51,4.25,6.75
2021-03,Arbat,CAO,593100,657200,2471,172,26,19,4.25,6.75
2021-04,Arbat,CAO,607600,684300,2532,144,32,118,8.5,11.0
2021-05,Arbat,CAO,604300,680100,2518,66,12,79,8.5,11.0
2021-06,Arbat,CAO,605100,682700,2521,135,78,59,8.5,11.0
2021-07,Arbat,CAO,617200,674600,2572,136,16,115,8.5,11.0
2021-08,Arbat,CAO,640700,703700,2669,130,26,84,8.5,11.0
2021-09,Arbat,CAO,635900,690500,2650,131,17,54,8.5,11.0
2021-10,Arbat,CAO,651900,706100,2716,131,57,24,8.5,11.0
2021-11,Arbat,CAO,636800,714800,2653,45,5,58,8.5,11.0
2021-12,Arbat,CAO,656800,739400,2737,75,21,48,8.5,11.0
2022-01,Arbat,CAO,667200,738900,2780,66,69,81,20.0,22.5
2022-02,Arbat,CAO,671300,745400,2797,62,49,47,20.0,22.5
2022-03,Arbat,CAO,636200,702100,2651,192,40,110,20.0,22.5
2022-04,Arbat,CAO,615500,649400,2565,171,23,49,9.5,12.0
2022-05,Arbat,CAO,635600,680600,2648,116,62,89,9.5,12.0
2022-06,Arbat,CAO,625900,692600,2608,34,17,50,9.5,12.0
2022-07,Arbat,CAO,643500,704300,2681,21,45,71,9.5,12.0
2022-08,Arbat,CAO,685100,738900,2855,69,79,23,9.5,12.0
2022-09,Arbat,CAO,683100,723600,2846,148,46,90,9.5,12.0
2022-10,Arbat,CAO,654200,719000,2726,92,60,36,7.5,10.0
2022-11,Arbat,CAO,696600,766200,2903,91,66,48,7.5,10.0
2022-12,Arbat,CAO,677900,743300,2825,162,14,63,7.5,10.0
2023-01,Arbat,CAO,685900,773300,2858,59,35,57,7.5,10.0
2023-02,Arbat,CAO,684200,771800,2851,146,18,38,7.5,10.0
2023-03,Arbat,CAO,680500,738700,2835,131,63,105,7.5,10.0
2023-04,Arbat,CAO,730200,828900,3042,128,70,59,7.5,10.0
2023-05,Arbat,CAO,727700,829900,3032,127,46,106,7.5,10.0
2023-06,Arbat,CAO,750100,808400,3125,97,63,19,7.5,10.0
2023-07,Arbat,CAO,730000,786100,3042,109,52,66,13.0,15.5
2023-08,Arbat,CAO,737800,839600,3074,67,76,43,13.0,15.5
2023-09,Arbat,CAO,716400,765500,2985,183,43,28,13.0,15.5
2023-10,Arbat,CAO,738800,805100,3079,163,16,68,13.0,15.5
2023-11,Arbat,CAO,761500,864800,3173,46,45,84,13.0,15.5
2023-12,Arbat,CAO,721100,767600,3005,87,66,19,13.0,15.5
2024-01,Arbat,CAO,728500,799600,3035,128,55,41,16.0,18.5
2024-02,Arbat,CAO,776200,867500,3234,199,11,28,16.0,18.5
2024-03,Arbat,CAO,745000,780500,3104,108,57,42,16.0,18.5
2024-04,Arbat,CAO,729400,815400,3039,46,68,52,16.0,18.5
2024-05,Arbat,CAO,766400,827600,3194,91,70,91,16.0,18.5
2024-06,Arbat,CAO,736100,790000,3067,80,33,98,16.0,18.5
2024-07,Arbat,CAO,740500,795400,3085,57,66,59,16.0,18.5
2024-08,Arbat,CAO,751100,824900,3130,177,30,88,16.0,18.5
