DISTRICT,FURNISHED,AVG_MONTHLY_RENT
Presnensky,TRUE,135807.21
Arbat,FALSE,133745.31
Tverskoy,TRUE,128493.46
Arbat,TRUE,126218.48
Tverskoy,FALSE,126015.63
Khamovniki,TRUE,124433.68
Khamovniki,FALSE,123804.26
Yakimanka,TRUE,121571.43
Yakimanka,FALSE,116135.14
Zamoskvorechye,TRUE,108516.35
Zamoskvorechye,FALSE,108420.45
Presnensky,FALSE,108129.55
Meshchansky,TRUE,101933.64
Dorogomilovo,TRUE,96553.96
Krasnoselsky,TRUE,95755.26
Basmanny,TRUE,94209.09
Krasnoselsky,FALSE,89833.33
Strogino,TRUE,89357.14
Meshchansky,FALSE,89258.97
Tagansky,TRUE,88123.68
Basmanny,FALSE,87916.07
Tagansky,FALSE,86384.21
Prospekt Vernadskogo,TRUE,85116.82
Lomonosovsky,TRUE,84858.33
Gagarinsky,TRUE,81577.45
Yasenevo,TRUE,80406.42
Dorogomilovo,FALSE,79275.00
Strogino,FALSE,78990.91
Cheryomushki,TRUE,78213.00
Gagarinsky,FALSE,77661.22
Troparyovo-Nikulino,FALSE,77100.00
Shchukino,TRUE,77085.84
Cheryomushki,FALSE,76628.00
Prospekt Vernadskogo,FALSE,75407.69
Troparyovo-Nikulino,TRUE,74934.07
Filyovsky Park,TRUE,74911.76
Lomonosovsky,FALSE,73888.64
Yasenevo,FALSE,73811.90
Krylatskoye,TRUE,73538.40
Sokol,TRUE,71723.21
Ramenki,TRUE,71384.16
Begovoy,FALSE,70394.74
Obruchevsky,TRUE,69418.25
Fili-Davydkovo,TRUE,69364.36
Ramenki,FALSE,69201.67
Fili-Davydkovo,FALSE,68495.83
Akademichesky,TRUE,68400.00
Khoroshyovsky,TRUE,67993.64
Khoroshyovsky,FALSE,67618.60
Begovoy,TRUE,67563.64
Preobrazhenskoye,TRUE,66874.58
Filyovsky Park,FALSE,66842.50
Sokol,FALSE,66801.82
Krylatskoye,FALSE,66638.64
Shchukino,FALSE,64548.89
Kotlovka,TRUE,64444.35
Obruchevsky,FALSE,64076.19
Perovo,TRUE,63139.64
