DISTRICT,TOTAL_SECONDARY_LISTINGS,TOTAL_NEWBUILD_LISTINGS,TOTAL_RENTAL_LISTINGS
Troitsk,9579,3110,4883
Vostochnoye Izmaylovo,9530,3463,4626
Vnukovo,9420,3357,4957
Yuzhnoye Medvedkovo,9336,3229,4825
Mosrentgen,9269,3549,4826
Pokrovskoye-Streshnevo,9197,3304,4849
Yuzhnoye Tushino,9137,3242,5040
Mozhaysky,9100,3231,4772
Kuntsevo,9091,3006,4851
Mikhaylovo-Yartsevskoye,9073,3141,4848
Timiryazevsky,9063,3355,5025
Losinoostrovsky,9062,3266,4847
Nagatino-Sadovniki,8977,3080,4769
Golyanovo,8863,3020,5067
Konkovo,8853,3364,4846
Gagarinsky,8811,3011,4705
Koptevo,8805,3187,4961
Orekhovo-Borisovo Yuzhnoye,8799,3084,5106
Bibirevo,8793,2850,5180
Butyrsky,8787,2988,4656
Pervomayskoye,8782,3044,5235
Chertanovo Severnoye,8740,3227,5434
Akademichesky,8740,3322,4742
Bogorodskoye,8721,3156,5541
Altufyevsky,8716,3256,4371
Krasnopakhorskoye,8681,3222,4622
Vnukovskoye,8669,3281,4843
Novofyodorovskoye,8642,3435,5296
Biryulyovo Zapadnoye,8612,3121,5064
Alekseevsky,8587,3344,4802
Troparyovo-Nikulino,8585,3109,5189
Arbat,8584,2990,4799
Zyuzino,8584,2962,5317
Chertanovo Yuzhnoye,8583,3149,4581
Severnoye Tushino,8582,2990,4467
Sokol,8571,3520,5362
Preobrazhenskoye,8569,3018,5171
Donskoy,8564,3209,4690
Golovinsky,8557,3349,5191
Chertanovo Tsentralnoye,8555,3314,4859
Sokolniki,8553,3015,4860
Sosenskoye,8544,3416,5672
Biryulyovo Vostochnoye,8525,3180,4751
Zamoskvorechye,8522,3110,5047
Moskvorechye-Saburovo,8514,3251,4887
Severny,8504,2908,4822
Vostochny,8503,3074,4938
Filyovsky Park,8498,3155,4524
Babushkinsky,8490,3330,4545
Novokosino,8490,3044,4943
Ivanovskoye,8488,3223,5421
Sviblovo,8481,3238,5046
Filimonkovskoye,8477,3159,4864
Ryazanovskoye,8470,3139,4301
Prospekt Vernadskogo,8455,3176,5418
Khamovniki,8452,3215,5068
Khoroshyovo-Mnyovniki,8448,3346,4907
Yaroslavsky,8442,3224,4693
Solntsevo,8424,3151,4663
Metrogorodok,8423,3252,5071
Rostokino,8406,3223,5234
Klyonovskoye,8405,3172,4713
Molzhaninovsky,8400,3513,4420
Zapadnoye Degunino,8380,3175,5436
Krylatskoye,8379,3186,5074
Yakimanka,8349,3174,5212
Lomonosovsky,8332,3511,4510
Begovoy,8328,3569,4927
Zyablikovo,8325,3287,4363
Presnensky,8324,3373,4618
Kosino-Ukhtomsky,8300,3167,4980
Nagorny,8288,3177,5288
Savyolovsky,8276,3238,5038
Ostankinsky,8274,3233,4623
Marushkinskoye,8273,3263,5294
Veshnyaki,8254,3074,5328
Tsaritsyno,8244,3396,5043
Aeroport,8241,3039,4668
Tyoply Stan,8236,3204,4890
Kokoshkino,8229,3241,5088
Dorogomilovo,8226,3185,4379
Severnoye Butovo,8194,3249,4994
Lianozovo,8175,2836,5201
Novogireyevo,8164,2965,4444
Voskresenskoye,8146,3221,4886
Voykovsky,8145,3356,4973
Shchapovskoye,8134,3485,5001
Kievsky,8133,3154,5646
Tagansky,8101,3232,4894
Ramenki,8081,3148,4955
Izmaylovo,8075,3672,4850
Orekhovo-Borisovo Severnoye,8057,3030,5815
Kotlovka,8053,3387,4681
Krasnoselsky,8045,3213,4471
Tverskoy,8032,3099,4646
Dmitrovsky,8024,2886,4462
Strogino,8019,3692,5548
Yuzhnoye Butovo,8013,3144,4996
Marfino,8005,3007,4971
Brateyevo,7997,3000,4901
Khovrino,7983,3449,4378
Otradnoye,7976,3476,5298
Severnoye Medvedkovo,7933,3187,4738
Voronovskoye,7925,3365,4154
Mitino,7913,3304,4914
Desyonovskoye,7884,3555,5039
Kurkino,7875,3528,4283
Rogovskoye,7813,3325,4805
Yasenevo,7799,3332,5080
Khoroshyovsky,7749,3035,4574
Severnoye Izmaylovo,7745,3390,4645
Perovo,7702,3505,4701
Moskovsky,7690,3246,4897
Zelenograd,7675,3407,4710
Shcherbinka,7599,3169,5025
Levoberezhny,7593,3242,5087
Fili-Davydkovo,7558,3196,4931
Beskudnikovsky,7555,3473,4928
Maryina Roshcha,7547,3381,4585
Ochakovo-Matveyevskoye,7530,3347,4887
Meshchansky,7530,3250,5249
Shchukino,7509,3102,4810
Cheryomushki,7479,3100,4568
Nagatinsky Zaton,7454,3231,4783
Obruchevsky,7453,3040,5250
Danilovsky,7401,2887,5364
Novo-Peredelkino,7299,3464,4802
Sokolinaya Gora,7185,3229,4983
Basmanny,7035,3440,5134
