BUILDING_TYPE,RENOVATION,ROOMS,AVG_PROPERTY_PRICE
stalin,euro,5,32528485.71
stalin,designer,5,29722200.00
monolith,designer,5,28370935.48
brick,designer,5,26750695.65
brick,euro,5,26696857.14
stalin,designer,4,26057315.79
modern_panel,designer,5,26023777.78
brick,designer,4,25465257.58
monolith,euro,5,25346460.00
modern_panel,euro,5,25313653.85
khrushchev,designer,5,25096583.33
stalin,designer,3,25053931.51
modern_panel,designer,4,25017196.72
stalin,euro,4,24582952.94
monolith,designer,4,24296417.72
panel,designer,5,23767709.68
monolith,euro,4,22659891.00
stalin,no_renovation,5,22545526.32
stalin,euro,3,22527889.45
khrushchev,designer,4,22496044.78
monolith,cosmetic,5,22265168.00
brick,cosmetic,5,21930099.10
stalin,designer,2,21609059.70
brick,euro,4,21577602.21
stalin,cosmetic,4,21515645.67
stalin,cosmetic,5,21464146.34
panel,euro,5,21408945.65
brick,designer,3,20946491.33
panel,cosmetic,5,20699991.45
modern_panel,cosmetic,5,20636338.03
monolith,designer,3,20535824.18
modern_panel,euro,4,20219312.80
brick,no_renovation,5,19979839.29
khrushchev,euro,5,19708693.55
modern_panel,designer,3,19557545.92
stalin,no_renovation,4,19332720.00
stalin,cosmetic,3,19271914.68
monolith,cosmetic,4,19166675.96
panel,designer,4,18768179.10
monolith,euro,3,18432603.51
panel,euro,4,18249645.30
monolith,no_renovation,5,18147126.98
panel,designer,3,18104558.44
brick,euro,3,17850166.99
stalin,euro,2,17744430.35
monolith,designer,2,17681368.96
brick,cosmetic,4,17624763.39
modern_panel,no_renovation,5,17596481.48
modern_panel,euro,3,17549383.84
modern_panel,cosmetic,4,17365187.28
monolith,no_renovation,4,17316470.15
brick,designer,2,17279396.50
khrushchev,cosmetic,5,17021813.08
brick,no_renovation,4,16789792.59
panel,cosmetic,4,16556021.66
modern_panel,no_renovation,4,16286666.67
khrushchev,designer,3,16213949.04
khrushchev,euro,4,16201400.00
panel,euro,3,16112679.93
monolith,cosmetic,3,15991381.30
modern_panel,designer,2,15943076.14
panel,no_renovation,5,15879704.23
stalin,no_renovation,3,15610861.54
brick,cosmetic,3,15505027.70
monolith,euro,2,14887619.92
stalin,cosmetic,2,14840067.40
brick,euro,2,14801462.87
khrushchev,cosmetic,4,14773914.44
modern_panel,cosmetic,3,14586160.42
panel,no_renovation,4,14572931.82
panel,designer,2,14430509.57
monolith,no_renovation,3,14345598.04
stalin,designer,1,14187706.90
khrushchev,euro,3,14135502.28
monolith,designer,1,13922415.63
panel,cosmetic,3,13859308.16
khrushchev,no_renovation,5,13841482.76
modern_panel,no_renovation,3,13490464.29
khrushchev,designer,2,13447836.81
stalin,euro,1,13367329.19
modern_panel,euro,2,13211972.97
monolith,cosmetic,2,13098107.94
brick,no_renovation,3,13075694.86
modern_panel,designer,1,12882421.05
panel,euro,2,12843601.65
khrushchev,no_renovation,4,12720087.38
stalin,no_renovation,2,12570506.94
brick,designer,1,12511764.71
brick,cosmetic,2,12309548.20
modern_panel,cosmetic,2,12112120.69
khrushchev,cosmetic,3,11974565.14
panel,no_renovation,3,11951825.99
khrushchev,euro,2,11906748.11
monolith,no_renovation,2,11849000.00
monolith,euro,1,11580752.38
panel,designer,1,11534572.99
brick,euro,1,11227477.94
khrushchev,no_renovation,3,11199319.75
brick,no_renovation,2,11067211.27
panel,cosmetic,2,11033392.74
modern_panel,no_renovation,2,10870917.54
stalin,cosmetic,1,10729626.83
khrushchev,designer,1,10699567.31
stalin,no_renovation,1,10284511.74
modern_panel,euro,1,10264478.77
khrushchev,cosmetic,2,10213011.73
panel,no_renovation,2,9898755.20
monolith,cosmetic,1,9892557.60
panel,euro,1,9596034.82
brick,cosmetic,1,9351059.51
brick,no_renovation,1,9212264.26
khrushchev,no_renovation,2,9119590.46
khrushchev,euro,1,9104822.13
modern_panel,cosmetic,1,9094865.67
monolith,no_renovation,1,9004561.49
panel,cosmetic,1,8341220.66
modern_panel,no_renovation,1,8228516.46
khrushchev,cosmetic,1,7953822.80
panel,no_renovation,1,7391457.94
khrushchev,no_renovation,1,7012882.76
