YEAR_MONTH,DISTRICT,OKRUG,SECONDARY_PRICE_PER_SQM,RENTAL_PRICE_PER_SQM_MONTHLY,AVG_MORTGAGE_RATE_PCT
2020-01,Klyonovskoye,TAO,70600,294,8.5
2020-01,Vostochnoye Izmaylovo,VAO,200800,837,8.5
2020-01,Savyolovsky,SAO,237300,989,8.5
2020-01,Butyrsky,SVAO,208800,870,8.5
2020-01,Zyuzino,YuZAO,254900,1062,8.5
2020-01,Severnoye Izmaylovo,VAO,187700,782,8.5
2020-01,Pokrovskoye-Streshnevo,SZAO,233200,971,8.5
2020-01,Dorogomilovo,ZAO,373300,1555,8.5
2020-01,Zyablikovo,YuAO,164600,686,8.5
2020-01,Orekhovo-Borisovo Severnoye,YuAO,163600,682,8.5
2020-01,Voskresenskoye,NAO,140500,585,8.5
2020-01,Veshnyaki,VAO,167200,696,8.5
2020-01,Aeroport,SAO,220700,920,8.5
2020-01,Yakimanka,CAO,462000,1925,8.5
2020-01,Kuntsevo,ZAO,266300,1109,8.5
2020-01,Sokol,SAO,255900,1066,8.5
2020-01,Gagarinsky,YuZAO,319800,1333,8.5
2020-01,Sokolinaya Gora,VAO,185000,771,8.5
2020-01,Troparyovo-Nikulino,ZAO,280300,1168,8.5
2020-01,Otradnoye,SVAO,187300,781,8.5
2020-01,Novofyodorovskoye,TAO,72000,300,8.5
2020-01,Bogorodskoye,VAO,194100,809,8.5
2020-01,Bibirevo,SVAO,180900,754,8.5
2020-01,Vnukovskoye,NAO,146200,609,8.5
2020-01,Kokoshkino,NAO,114800,478,8.5
2020-01,Kotlovka,YuZAO,260600,1086,8.5
2020-01,Shcherbinka,NAO,141700,590,8.5
2020-01,Mitino,SZAO,206600,861,8.5
2020-01,Golyanovo,VAO,165800,691,8.5
2020-01,Perovo,VAO,188900,787,8.5
2020-01,Moskvorechye-Saburovo,YuAO,176700,736,8.5
2020-01,Nagorny,YuAO,216000,900,8.5
2020-01,Levoberezhny,SAO,180300,751,8.5
2020-01,Shchapovskoye,TAO,75500,315,8.5
2020-01,Yasenevo,YuZAO,236100,984,8.5
2020-01,Begovoy,SAO,246600,1028,8.5
2020-01,Mozhaysky,ZAO,239800,999,8.5
2020-01,Konkovo,YuZAO,237400,989,8.5
2020-01,Vostochny,VAO,159800,666,8.5
2020-01,Preobrazhenskoye,VAO,200800,837,8.5
2020-01,Filyovsky Park,ZAO,300100,1250,8.5
2020-01,Ostankinsky,SVAO,226400,943,8.5
2020-01,Krasnopakhorskoye,TAO,88700,370,8.5
2020-01,Molzhaninovsky,SAO,152500,636,8.5
2020-01,Vnukovo,ZAO,195400,814,8.5
2020-01,Desyonovskoye,NAO,135100,563,8.5
2020-01,Zamoskvorechye,CAO,411600,1715,8.5
2020-01,Chertanovo Severnoye,YuAO,185800,774,8.5
2020-01,Babushkinsky,SVAO,186300,776,8.5
2020-01,Chertanovo Tsentralnoye,YuAO,177900,741,8.5
2020-01,Biryulyovo Zapadnoye,YuAO,157300,655,8.5
2020-01,Strogino,SZAO,264800,1103,8.5
2020-01,Tagansky,CAO,352300,1468,8.5
2020-01,Severny,SVAO,163200,680,8.5
2020-01,Ochakovo-Matveyevskoye,ZAO,244000,1017,8.5
2020-01,Meshchansky,CAO,367300,1530,8.5
2020-01,Shchukino,SZAO,261500,1090,8.5
2020-01,Alekseevsky,SVAO,227900,949,8.5
2020-01,Troitsk,TAO,101800,424,8.5
2020-01,Khoroshyovsky,SAO,256700,1070,8.5
2020-01,Brateyevo,YuAO,165900,691,8.5
2020-01,Ramenki,ZAO,319800,1332,8.5
2020-01,Severnoye Medvedkovo,SVAO,182200,759,8.5
2020-01,Prospekt Vernadskogo,ZAO,310400,1293,8.5
2020-01,Danilovsky,YuAO,234600,977,8.5
2020-01,Tsaritsyno,YuAO,177400,739,8.5
2020-01,Presnensky,CAO,439400,1831,8.5
2020-01,Sviblovo,SVAO,187800,783,8.5
2020-01,Khoroshyovo-Mnyovniki,SZAO,270500,1127,8.5
2020-01,Altufyevsky,SVAO,173500,723,8.5
2020-01,Voronovskoye,TAO,76200,318,8.5
2020-01,Donskoy,YuAO,237500,990,8.5
2020-01,Timiryazevsky,SAO,218200,909,8.5
2020-01,Khamovniki,CAO,514900,2145,8.5
2020-01,Krasnoselsky,CAO,358800,1495,8.5
2020-01,Akademichesky,YuZAO,282900,1179,8.5
2020-01,Sokolniki,VAO,217900,908,8.5
2020-01,Severnoye Tushino,SZAO,211300,880,8.5
2020-01,Yaroslavsky,SVAO,177000,738,8.5
2020-01,Pervomayskoye,TAO,80600,336,8.5
2020-01,Zelenograd,ZelAO,123300,514,8.5
2020-01,Novo-Peredelkino,ZAO,193200,805,8.5
2020-01,Khovrino,SAO,173200,722,8.5
2020-01,Mikhaylovo-Yartsevskoye,TAO,72800,303,8.5
2020-01,Orekhovo-Borisovo Yuzhnoye,YuAO,163900,683,8.5
2020-01,Tverskoy,CAO,464100,1934,8.5
2020-01,Yuzhnoye Medvedkovo,SVAO,182500,760,8.5
2020-01,Chertanovo Yuzhnoye,YuAO,172700,720,8.5
2020-01,Biryulyovo Vostochnoye,YuAO,161500,673,8.5
2020-01,Kievsky,TAO,72600,302,8.5
2020-01,Solntsevo,ZAO,209700,874,8.5
2020-01,Rostokino,SVAO,189300,789,8.5
2020-01,Rogovskoye,TAO,72900,304,8.5
2020-01,Yuzhnoye Tushino,SZAO,216200,901,8.5
2020-01,Ivanovskoye,VAO,174300,726,8.5
2020-01,Kurkino,SZAO,250100,1042,8.5
2020-01,Golovinsky,SAO,195500,814,8.5
2020-01,Lomonosovsky,YuZAO,302400,1260,8.5
2020-01,Dmitrovsky,SAO,178000,741,8.5
2020-01,Filimonkovskoye,NAO,129900,541,8.5
2020-01,Novogireyevo,VAO,189300,789,8.5
2020-01,Kosino-Ukhtomsky,VAO,161600,673,8.5
2020-01,Mosrentgen,NAO,152000,633,8.5
2020-01,Koptevo,SAO,192900,804,8.5
2020-01,Losinoostrovsky,SVAO,185100,771,8.5
2020-01,Yuzhnoye Butovo,YuZAO,198200,826,8.5
2020-01,Tyoply Stan,YuZAO,211000,879,8.5
2020-01,Basmanny,CAO,380000,1583,8.5
2020-01,Krylatskoye,SZAO,307900,1283,8.5
2020-01,Nagatinsky Zaton,YuAO,221800,924,8.5
2020-01,Nagatino-Sadovniki,YuAO,212000,883,8.5
2020-01,Marfino,SVAO,186800,778,8.5
2020-01,Obruchevsky,YuZAO,250300,1043,8.5
2020-01,Sosenskoye,NAO,145100,605,8.5
2020-01,Moskovsky,NAO,145000,604,8.5
2020-01,Novokosino,VAO,178400,743,8.5
2020-01,Arbat,CAO,480000,2000,8.5
2020-01,Cheryomushki,YuZAO,254300,1059,8.5
2020-01,Metrogorodok,VAO,174800,728,8.5
2020-01,Lianozovo,SVAO,177100,738,8.5
2020-01,Zapadnoye Degunino,SAO,187500,781,8.5
2020-01,Fili-Davydkovo,ZAO,277300,1155,8.5
2020-01,Marushkinskoye,NAO,116500,485,8.5
2020-01,Severnoye Butovo,YuZAO,212100,884,8.5
2020-01,Beskudnikovsky,SAO,178200,742,8.5
2020-01,Izmaylovo,VAO,207000,862,8.5
2020-01,Ryazanovskoye,NAO,117100,488,8.5
2020-01,Voykovsky,SAO,216300,901,8.5
2020-01,Maryina Roshcha,SVAO,224300,935,8.5
2020-02,Donskoy,YuAO,256300,1068,8.5
2020-02,Chertanovo Yuzhnoye,YuAO,165300,689,8.5
2020-02,Zapadnoye Degunino,SAO,180700,753,8.5
2020-02,Otradnoye,SVAO,196600,819,8.5
2020-02,Nagatinsky Zaton,YuAO,215800,899,8.5
2020-02,Khovrino,SAO,179600,748,8.5
2020-02,Izmaylovo,VAO,216800,903,8.5
2020-02,Nagatino-Sadovniki,YuAO,207800,866,8.5
2020-02,Orekhovo-Borisovo Yuzhnoye,YuAO,159100,663,8.5
2020-02,Tverskoy,CAO,475700,1982,8.5
2020-02,Troparyovo-Nikulino,ZAO,289100,1205,8.5
2020-02,Yuzhnoye Medvedkovo,SVAO,194300,809,8.5
2020-02,Kurkino,SZAO,248500,1036,8.5
2020-02,Bibirevo,SVAO,178000,742,8.5
2020-02,Mozhaysky,ZAO,235400,981,8.5
2020-02,Timiryazevsky,SAO,222000,925,8.5
2020-02,Vnukovskoye,NAO,147900,616,8.5
2020-02,Khamovniki,CAO,518900,2162,8.5
2020-02,Krasnoselsky,CAO,376700,1570,8.5
2020-02,Sokolinaya Gora,VAO,186800,778,8.5
2020-02,Akademichesky,YuZAO,288100,1201,8.5
2020-02,Novogireyevo,VAO,186400,777,8.5
2020-02,Zelenograd,ZelAO,125200,522,8.5
2020-02,Sokolniki,VAO,227900,950,8.5
2020-02,Severnoye Tushino,SZAO,213400,889,8.5
2020-02,Yaroslavsky,SVAO,178900,745,8.5
2020-02,Bogorodskoye,VAO,190900,795,8.5
2020-02,Novofyodorovskoye,TAO,74700,311,8.5
2020-02,Mosrentgen,NAO,153500,639,8.5
2020-02,Pervomayskoye,TAO,80900,337,8.5
2020-02,Prospekt Vernadskogo,ZAO,318800,1328,8.5
2020-02,Shchukino,SZAO,263000,1096,8.5
2020-02,Dmitrovsky,SAO,177300,739,8.5
2020-02,Alekseevsky,SVAO,231700,965,8.5
2020-02,Troitsk,TAO,104100,434,8.5
2020-02,Chertanovo Severnoye,YuAO,186600,777,8.5
2020-02,Golovinsky,SAO,187900,783,8.5
2020-02,Brateyevo,YuAO,166600,694,8.5
2020-02,Ramenki,ZAO,319900,1333,8.5
2020-02,Severnoye Medvedkovo,SVAO,187700,782,8.5
2020-02,Metrogorodok,VAO,168100,701,8.5
2020-02,Meshchansky,CAO,386400,1610,8.5
2020-02,Danilovsky,YuAO,238300,993,8.5
2020-02,Ryazanovskoye,NAO,115200,480,8.5
2020-02,Tsaritsyno,YuAO,181100,755,8.5
2020-02,Presnensky,CAO,476500,1985,8.5
2020-02,Khoroshyovo-Mnyovniki,SZAO,271100,1130,8.5
2020-02,Sviblovo,SVAO,187200,780,8.5
2020-02,Severnoye Butovo,YuZAO,209100,871,8.5
2020-02,Altufyevsky,SVAO,175500,731,8.5
2020-02,Voronovskoye,TAO,74600,311,8.5
2020-02,Arbat,CAO,469100,1955,8.5
2020-02,Khoroshyovsky,SAO,275700,1149,8.5
2020-02,Novo-Peredelkino,ZAO,204900,854,8.5
2020-02,Obruchevsky,YuZAO,267900,1116,8.5
2020-02,Kievsky,TAO,73600,307,8.5
2020-02,Biryulyovo Vostochnoye,YuAO,158700,661,8.5
2020-02,Solntsevo,ZAO,205300,856,8.5
2020-02,Marfino,SVAO,197700,824,8.5
2020-02,Rostokino,SVAO,185700,774,8.5
2020-02,Rogovskoye,TAO,71000,296,8.5
2020-02,Yuzhnoye Tushino,SZAO,222300,926,8.5
2020-02,Krylatskoye,SZAO,303700,1266,8.5
2020-02,Sosenskoye,NAO,151400,631,8.5
2020-02,Babushkinsky,SVAO,193600,807,8.5
2020-02,Tyoply Stan,YuZAO,221900,925,8.5
2020-02,Chertanovo Tsentralnoye,YuAO,174800,728,8.5
2020-02,Biryulyovo Zapadnoye,YuAO,160400,668,8.5
2020-02,Losinoostrovsky,SVAO,188900,787,8.5
2020-02,Strogino,SZAO,268300,1118,8.5
2020-02,Tagansky,CAO,351900,1466,8.5
2020-02,Severny,SVAO,164800,687,8.5
2020-02,Kosino-Ukhtomsky,VAO,169400,706,8.5
2020-02,Ochakovo-Matveyevskoye,ZAO,242800,1011,8.5
2020-02,Novokosino,VAO,190500,794,8.5
2020-02,Filyovsky Park,ZAO,298900,1245,8.5
2020-02,Basmanny,CAO,382700,1594,8.5
2020-02,Krasnopakhorskoye,TAO,84600,352,8.5
2020-02,Shchapovskoye,TAO,77300,322,8.5
2020-02,Molzhaninovsky,SAO,155300,647,8.5
2020-02,Ivanovskoye,VAO,176200,734,8.5
2020-02,Vnukovo,ZAO,195400,814,8.5
2020-02,Desyonovskoye,NAO,133400,556,8.5
2020-02,Zamoskvorechye,CAO,410700,1711,8.5
2020-02,Aeroport,SAO,241500,1006,8.5
2020-02,Preobrazhenskoye,VAO,205700,857,8.5
2020-02,Vostochnoye Izmaylovo,VAO,193000,804,8.5
2020-02,Butyrsky,SVAO,207700,865,8.5
2020-02,Fili-Davydkovo,ZAO,281600,1173,8.5
2020-02,Ostankinsky,SVAO,235400,981,8.5
2020-02,Savyolovsky,SAO,256900,1070,8.5
2020-02,Zyuzino,YuZAO,252900,1054,8.5
2020-02,Moskovsky,NAO,149900,625,8.5
2020-02,Severnoye Izmaylovo,VAO,184600,769,8.5
2020-02,Pokrovskoye-Streshnevo,SZAO,233400,973,8.5
2020-02,Beskudnikovsky,SAO,180700,753,8.5
2020-02,Maryina Roshcha,SVAO,236200,984,8.5
2020-02,Kotlovka,YuZAO,261900,1091,8.5
2020-02,Shcherbinka,NAO,138700,578,8.5
2020-02,Lianozovo,SVAO,175100,730,8.5
2020-02,Golyanovo,VAO,180700,753,8.5
2020-02,Marushkinskoye,NAO,113900,474,8.5
2020-02,Perovo,VAO,194900,812,8.5
2020-02,Moskvorechye-Saburovo,YuAO,187500,781,8.5
2020-02,Nagorny,YuAO,202500,844,8.5
2020-02,Gagarinsky,YuZAO,312600,1302,8.5
2020-02,Levoberezhny,SAO,191600,799,8.5
2020-02,Yasenevo,YuZAO,242100,1009,8.5
2020-02,Mitino,SZAO,206700,861,8.5
2020-02,Begovoy,SAO,260100,1084,8.5
2020-02,Yuzhnoye Butovo,YuZAO,198900,829,8.5
2020-02,Kokoshkino,NAO,123200,513,8.5
2020-02,Vostochny,VAO,153300,639,8.5
2020-02,Konkovo,YuZAO,243600,1015,8.5
2020-02,Koptevo,SAO,191000,796,8.5
2020-02,Filimonkovskoye,NAO,125800,524,8.5
2020-02,Kuntsevo,ZAO,261600,1090,8.5
2020-02,Cheryomushki,YuZAO,262300,1093,8.5
2020-02,Veshnyaki,VAO,164700,686,8.5
2020-02,Yakimanka,CAO,460400,1918,8.5
2020-02,Sokol,SAO,257200,1072,8.5
2020-02,Dorogomilovo,ZAO,369800,1541,8.5
2020-02,Zyablikovo,YuAO,162200,676,8.5
2020-02,Mikhaylovo-Yartsevskoye,TAO,82700,345,8.5
2020-02,Orekhovo-Borisovo Severnoye,YuAO,175300,730,8.5
2020-02,Voskresenskoye,NAO,139100,579,8.5
2020-02,Voykovsky,SAO,208100,867,8.5
2020-02,Lomonosovsky,YuZAO,333600,1390,8.5
2020-02,Klyonovskoye,TAO,73200,305,8.5
2020-03,Ochakovo-Matveyevskoye,ZAO,246200,1026,8.5
2020-03,Golovinsky,SAO,193300,805,8.5
2020-03,Yuzhnoye Butovo,YuZAO,201500,840,8.5
2020-03,Tagansky,CAO,378400,1577,8.5
2020-03,Chertanovo Severnoye,YuAO,198200,826,8.5
2020-03,Troitsk,TAO,104500,435,8.5
2020-03,Yasenevo,YuZAO,249300,1039,8.5
2020-03,Vostochny,VAO,160800,670,8.5
2020-03,Shchukino,SZAO,265300,1106,8.5
2020-03,Biryulyovo Zapadnoye,YuAO,172500,719,8.5
2020-03,Alekseevsky,SVAO,217400,906,8.5
2020-03,Dmitrovsky,SAO,184600,769,8.5
2020-03,Begovoy,SAO,252700,1053,8.5
2020-03,Cheryomushki,YuZAO,258800,1078,8.5
2020-03,Vnukovskoye,NAO,153400,639,8.5
2020-03,Kosino-Ukhtomsky,VAO,164400,685,8.5
2020-03,Kokoshkino,NAO,118000,492,8.5
2020-03,Presnensky,CAO,457800,1908,8.5
2020-03,Kotlovka,YuZAO,250100,1042,8.5
2020-03,Altufyevsky,SVAO,176900,737,8.5
2020-03,Voykovsky,SAO,223500,931,8.5
2020-03,Severnoye Butovo,YuZAO,215600,898,8.5
2020-03,Zapadnoye Degunino,SAO,181800,758,8.5
2020-03,Shcherbinka,NAO,138800,578,8.5
2020-03,Gagarinsky,YuZAO,340000,1417,8.5
2020-03,Golyanovo,VAO,166600,694,8.5
2020-03,Khoroshyovo-Mnyovniki,SZAO,272200,1134,8.5
2020-03,Ryazanovskoye,NAO,121700,507,8.5
2020-03,Sokolinaya Gora,VAO,189200,788,8.5
2020-03,Levoberezhny,SAO,206500,860,8.5
2020-03,Prospekt Vernadskogo,ZAO,338300,1409,8.5
2020-03,Kuntsevo,ZAO,274800,1145,8.5
2020-03,Sokol,SAO,261400,1089,8.5
2020-03,Perovo,VAO,180600,753,8.5
2020-03,Marushkinskoye,NAO,113000,471,8.5
2020-03,Novofyodorovskoye,TAO,75500,315,8.5
2020-03,Metrogorodok,VAO,178000,742,8.5
2020-03,Bogorodskoye,VAO,192800,803,8.5
2020-03,Severnoye Medvedkovo,SVAO,181200,755,8.5
2020-03,Brateyevo,YuAO,167700,699,8.5
2020-03,Beskudnikovsky,SAO,182000,758,8.5
2020-03,Yaroslavsky,SVAO,185500,773,8.5
2020-03,Novo-Peredelkino,ZAO,210500,877,8.5
2020-03,Biryulyovo Vostochnoye,YuAO,166500,694,8.5
2020-03,Novokosino,VAO,174800,728,8.5
2020-03,Obruchevsky,YuZAO,273500,1139,8.5
2020-03,Veshnyaki,VAO,172400,718,8.5
2020-03,Dorogomilovo,ZAO,392700,1636,8.5
2020-03,Vostochnoye Izmaylovo,VAO,192400,802,8.5
2020-03,Sokolniki,VAO,232100,967,8.5
2020-03,Yuzhnoye Medvedkovo,SVAO,185900,775,8.5
2020-03,Sosenskoye,NAO,153900,641,8.5
2020-03,Mikhaylovo-Yartsevskoye,TAO,75000,312,8.5
2020-03,Aeroport,SAO,248100,1034,8.5
2020-03,Zyuzino,YuZAO,246200,1026,8.5
2020-03,Tverskoy,CAO,472800,1970,8.5
2020-03,Khovrino,SAO,190900,795,8.5
2020-03,Chertanovo Yuzhnoye,YuAO,168600,703,8.5
2020-03,Savyolovsky,SAO,255200,1063,8.5
2020-03,Moskovsky,NAO,149300,622,8.5
2020-03,Mozhaysky,ZAO,243800,1016,8.5
2020-03,Filimonkovskoye,NAO,121100,505,8.5
