DISTRICT,BUILDING_TYPE,RENOVATION,SELLER_TYPE,TOTAL_PROPERTIES
Yakimanka,modern_panel,cosmetic,agency,34
Severny,modern_panel,cosmetic,agency,34
Rostokino,modern_panel,cosmetic,agency,34
Severny,panel,cosmetic,agency,32
Severnoye Butovo,monolith,cosmetic,agency,31
Khoroshyovsky,modern_panel,cosmetic,agency,31
Mosrentgen,modern_panel,cosmetic,agency,31
Yuzhnoye Medvedkovo,monolith,cosmetic,agency,31
Desyonovskoye,modern_panel,cosmetic,agency,30
Biryulyovo Vostochnoye,modern_panel,cosmetic,agency,30
Otradnoye,panel,cosmetic,agency,30
Strogino,panel,cosmetic,agency,30
Perovo,modern_panel,cosmetic,agency,29
Meshchansky,panel,cosmetic,agency,29
Severnoye Tushino,modern_panel,cosmetic,agency,29
Gagarinsky,panel,cosmetic,agency,29
Fili-Davydkovo,brick,cosmetic,agency,28
Dorogomilovo,monolith,cosmetic,agency,28
Shchukino,modern_panel,cosmetic,agency,28
Yakimanka,brick,cosmetic,agency,28
Shcherbinka,modern_panel,cosmetic,agency,28
Akademichesky,panel,cosmetic,agency,28
Preobrazhenskoye,monolith,cosmetic,agency,28
Mitino,modern_panel,cosmetic,agency,28
Preobrazhenskoye,modern_panel,cosmetic,agency,28
Severnoye Medvedkovo,panel,cosmetic,agency,28
Marfino,modern_panel,cosmetic,agency,27
Yuzhnoye Butovo,brick,cosmetic,agency,27
Losinoostrovsky,monolith,cosmetic,agency,27
Begovoy,brick,cosmetic,agency,27
Rostokino,monolith,cosmetic,agency,27
Voronovskoye,panel,cosmetic,agency,27
Lomonosovsky,monolith,cosmetic,agency,27
Ramenki,monolith,cosmetic,agency,27
Krasnoselsky,modern_panel,cosmetic,agency,27
Lianozovo,modern_panel,cosmetic,agency,27
Levoberezhny,monolith,cosmetic,agency,27
Pokrovskoye-Streshnevo,modern_panel,cosmetic,agency,27
Moskvorechye-Saburovo,monolith,cosmetic,agency,27
Zamoskvorechye,monolith,cosmetic,agency,27
Voronovskoye,brick,cosmetic,agency,27
Golovinsky,modern_panel,euro,agency,27
Khovrino,modern_panel,cosmetic,agency,26
Fili-Davydkovo,modern_panel,cosmetic,agency,26
Tyoply Stan,panel,euro,agency,26
Yuzhnoye Medvedkovo,brick,cosmetic,agency,26
Izmaylovo,modern_panel,cosmetic,agency,26
Dmitrovsky,monolith,cosmetic,agency,26
Cheryomushki,monolith,cosmetic,agency,26
Perovo,modern_panel,euro,agency,26
Aeroport,monolith,cosmetic,agency,26
Begovoy,modern_panel,euro,agency,26
Basmanny,modern_panel,cosmetic,agency,26
Mitino,monolith,cosmetic,agency,26
Bibirevo,monolith,cosmetic,agency,25
Konkovo,panel,cosmetic,agency,25
Shchukino,monolith,cosmetic,agency,25
Zelenograd,panel,cosmetic,agency,25
Arbat,panel,cosmetic,agency,25
Losinoostrovsky,brick,cosmetic,agency,25
Obruchevsky,khrushchev,cosmetic,agency,25
Orekhovo-Borisovo Severnoye,modern_panel,cosmetic,agency,25
Savyolovsky,modern_panel,cosmetic,agency,25
Novogireyevo,brick,cosmetic,agency,25
Zamoskvorechye,panel,cosmetic,agency,25
Cheryomushki,panel,cosmetic,agency,25
Maryina Roshcha,monolith,cosmetic,agency,25
Orekhovo-Borisovo Yuzhnoye,panel,cosmetic,agency,25
Babushkinsky,panel,cosmetic,agency,25
Ramenki,modern_panel,cosmetic,agency,25
Tagansky,modern_panel,cosmetic,agency,25
Shchapovskoye,panel,cosmetic,agency,25
Filyovsky Park,monolith,cosmetic,agency,25
Rogovskoye,brick,cosmetic,agency,25
Kurkino,panel,cosmetic,agency,25
Troitsk,monolith,cosmetic,agency,25
Kotlovka,monolith,cosmetic,agency,25
Filyovsky Park,panel,cosmetic,agency,25
Nagatino-Sadovniki,brick,cosmetic,agency,25
Rostokino,brick,cosmetic,agency,25
Dmitrovsky,modern_panel,cosmetic,agency,25
Sokolniki,panel,cosmetic,agency,25
Kokoshkino,monolith,cosmetic,agency,25
Zyuzino,monolith,cosmetic,agency,25
Troparyovo-Nikulino,panel,cosmetic,agency,25
Severnoye Medvedkovo,modern_panel,cosmetic,agency,25
Sosenskoye,modern_panel,cosmetic,agency,25
Dorogomilovo,panel,euro,agency,25
Kievsky,panel,cosmetic,agency,25
Sokolinaya Gora,panel,cosmetic,agency,25
Aeroport,modern_panel,cosmetic,agency,25
Basmanny,panel,cosmetic,agency,25
Metrogorodok,brick,cosmetic,agency,25
Troitsk,modern_panel,cosmetic,agency,25
Severnoye Izmaylovo,brick,cosmetic,agency,25
Aeroport,monolith,euro,agency,24
Severny,monolith,cosmetic,agency,24
Fili-Davydkovo,monolith,cosmetic,agency,24
Orekhovo-Borisovo Yuzhnoye,modern_panel,cosmetic,agency,24
Levoberezhny,modern_panel,cosmetic,agency,24
Begovoy,panel,cosmetic,agency,24
Filimonkovskoye,brick,cosmetic,agency,24
Perovo,panel,cosmetic,agency,24
Voronovskoye,modern_panel,cosmetic,agency,24
Vostochnoye Izmaylovo,modern_panel,cosmetic,agency,24
Orekhovo-Borisovo Yuzhnoye,khrushchev,cosmetic,agency,24
Konkovo,modern_panel,cosmetic,agency,24
Khoroshyovo-Mnyovniki,panel,cosmetic,agency,24
Alekseevsky,brick,cosmetic,agency,24
Bibirevo,modern_panel,euro,agency,24
Krasnopakhorskoye,monolith,cosmetic,agency,24
Marushkinskoye,brick,cosmetic,agency,24
Golovinsky,monolith,cosmetic,agency,24
Timiryazevsky,modern_panel,cosmetic,agency,24
Yasenevo,brick,cosmetic,agency,24
Golovinsky,panel,cosmetic,agency,24
Ryazanovskoye,modern_panel,cosmetic,agency,24
Babushkinsky,modern_panel,cosmetic,agency,24
Severnoye Medvedkovo,brick,cosmetic,agency,24
Voskresenskoye,modern_panel,cosmetic,agency,24
Beskudnikovsky,khrushchev,cosmetic,agency,24
Troitsk,panel,cosmetic,agency,24
Koptevo,modern_panel,cosmetic,agency,24
Mikhaylovo-Yartsevskoye,khrushchev,cosmetic,agency,23
Ivanovskoye,panel,cosmetic,agency,23
Presnensky,modern_panel,cosmetic,agency,23
