DISTRICT,BUILDING_TYPE,ROOMS,TO_CENTER_KM,AVG_PRICE_PER_SQM
Yakimanka,stalin,1,0.07,486700.00
Zamoskvorechye,monolith,4,0.12,345900.00
Arbat,modern_panel,1,0.14,496400.00
Meshchansky,khrushchev,1,0.16,449600.00
Zamoskvorechye,modern_panel,1,0.18,553000.00
Yakimanka,panel,2,0.23,430600.00
Yakimanka,brick,2,0.24,482300.00
Yakimanka,brick,1,0.26,524400.00
Arbat,khrushchev,3,0.28,490800.00
Tverskoy,monolith,2,0.29,429900.00
Yakimanka,monolith,2,0.29,579300.00
Yakimanka,modern_panel,2,0.29,614000.00
Tverskoy,brick,2,0.29,477700.00
Tagansky,khrushchev,2,0.3,406200.00
Zamoskvorechye,stalin,1,0.31,414000.00
Arbat,monolith,4,0.32,469500.00
Arbat,monolith,2,0.34,612200.00
Presnensky,modern_panel,3,0.35,533200.00
Presnensky,brick,1,0.35,528200.00
Tverskoy,panel,1,0.35,756900.00
Tverskoy,modern_panel,1,0.36,509100.00
Zamoskvorechye,monolith,1,0.36,458100.00
Arbat,panel,3,0.36,295500.00
Tverskoy,khrushchev,2,0.37,512000.00
Arbat,modern_panel,3,0.37,527900.00
Arbat,modern_panel,1,0.38,694000.00
Meshchansky,khrushchev,2,0.41,293300.00
Meshchansky,brick,1,0.42,354600.00
Zamoskvorechye,khrushchev,2,0.43,234500.00
Meshchansky,monolith,3,0.44,468800.00
Meshchansky,modern_panel,1,0.45,484200.00
Zamoskvorechye,khrushchev,2,0.45,522300.00
Arbat,brick,3,0.48,470200.00
Meshchansky,modern_panel,3,0.48,337000.00
Meshchansky,monolith,2,0.48,326300.00
Presnensky,monolith,1,0.49,780500.00
Zamoskvorechye,monolith,2,0.49,470000.00
Zamoskvorechye,modern_panel,3,0.51,332700.00
Tverskoy,khrushchev,2,0.51,307600.00
Meshchansky,panel,2,0.51,307500.00
Tverskoy,modern_panel,2,0.51,413000.00
Arbat,panel,3,0.52,420700.00
Tverskoy,modern_panel,2,0.52,411600.00
Zamoskvorechye,brick,2,0.52,486300.00
Presnensky,khrushchev,2,0.54,326800.00
Presnensky,brick,1,0.54,640900.00
Tverskoy,brick,5,0.54,523600.00
Zamoskvorechye,khrushchev,2,0.55,266700.00
Tverskoy,brick,2,0.55,470700.00
Arbat,panel,2,0.55,417600.00
Arbat,khrushchev,3,0.56,287600.00
Meshchansky,khrushchev,1,0.58,362800.00
Basmanny,brick,1,0.58,387000.00
Tverskoy,modern_panel,2,0.58,869200.00
Tagansky,panel,3,0.59,320600.00
Zamoskvorechye,stalin,3,0.59,654600.00
Zamoskvorechye,brick,3,0.6,477000.00
Tverskoy,panel,3,0.6,336700.00
Arbat,khrushchev,3,0.6,303800.00
Zamoskvorechye,modern_panel,3,0.6,337400.00
Presnensky,stalin,3,0.6,552900.00
Tverskoy,brick,2,0.61,938200.00
Arbat,brick,2,0.61,444300.00
Basmanny,brick,1,0.61,295100.00
Arbat,stalin,1,0.61,790000.00
Arbat,monolith,2,0.61,837900.00
Yakimanka,stalin,1,0.61,558800.00
Arbat,brick,2,0.62,634500.00
Yakimanka,brick,3,0.63,356800.00
Tverskoy,brick,2,0.63,574900.00
Arbat,panel,2,0.64,361200.00
Yakimanka,brick,1,0.64,346400.00
Zamoskvorechye,brick,3,0.64,335200.00
Maryina Roshcha,stalin,2,0.65,309900.00
Arbat,panel,2,0.65,593900.00
Tverskoy,modern_panel,2,0.65,487800.00
Tverskoy,panel,1,0.66,469300.00
Zamoskvorechye,monolith,3,0.66,535000.00
Yakimanka,khrushchev,5,0.66,232200.00
Yakimanka,panel,3,0.66,374800.00
Arbat,modern_panel,1,0.68,524100.00
Zamoskvorechye,modern_panel,3,0.68,341400.00
Yakimanka,monolith,5,0.68,468400.00
Arbat,monolith,3,0.69,639200.00
Khamovniki,panel,3,0.7,439300.00
Khamovniki,brick,4,0.7,476100.00
Presnensky,panel,2,0.7,838000.00
Arbat,brick,3,0.7,580400.00
Zamoskvorechye,brick,5,0.71,554300.00
Tverskoy,stalin,4,0.71,553200.00
Zamoskvorechye,monolith,1,0.72,543800.00
Tagansky,modern_panel,2,0.72,354900.00
Tverskoy,monolith,1,0.72,721900.00
Yakimanka,monolith,3,0.73,401600.00
Tverskoy,modern_panel,2,0.73,463100.00
Arbat,modern_panel,2,0.73,546000.00
Arbat,panel,3,0.74,493600.00
Arbat,monolith,3,0.74,627500.00
Arbat,khrushchev,4,0.74,363200.00
Arbat,brick,1,0.75,546900.00
Tverskoy,monolith,4,0.75,673800.00
Tverskoy,stalin,3,0.75,526300.00
Arbat,khrushchev,2,0.75,353900.00
Yakimanka,panel,2,0.75,359000.00
Tverskoy,monolith,2,0.76,513600.00
Arbat,monolith,2,0.76,612300.00
Krasnoselsky,stalin,5,0.76,449400.00
Maryina Roshcha,monolith,2,0.76,273000.00
Yakimanka,panel,2,0.76,568600.00
Zamoskvorechye,panel,2,0.76,296000.00
Tverskoy,khrushchev,2,0.77,560400.00
Zamoskvorechye,khrushchev,1,0.77,404700.00
Presnensky,modern_panel,3,0.77,433800.00
Meshchansky,panel,2,0.77,343900.00
Yakimanka,panel,2,0.78,389300.00
Zamoskvorechye,modern_panel,2,0.78,397700.00
Arbat,panel,4,0.78,540600.00
Meshchansky,panel,3,0.78,448300.00
Arbat,modern_panel,2,0.79,651100.00
Meshchansky,khrushchev,3,0.8,347200.00
Zamoskvorechye,brick,1,0.8,507900.00
Arbat,modern_panel,2,0.8,615500.00
Arbat,panel,2,0.8,454700.00
Arbat,brick,1,0.8,698000.00
Zamoskvorechye,brick,1,0.81,462900.00
Yakimanka,panel,4,0.81,582200.00
Tverskoy,panel,2,0.82,432000.00
Arbat,panel,2,0.82,436700.00
Zamoskvorechye,brick,1,0.82,452200.00
Tverskoy,modern_panel,2,0.82,554400.00
Zamoskvorechye,monolith,2,0.83,299000.00
Tagansky,panel,1,0.83,282400.00
Arbat,khrushchev,2,0.83,338700.00
Arbat,monolith,3,0.83,544600.00
Tverskoy,monolith,2,0.85,627400.00
Tverskoy,brick,2,0.85,437800.00
Arbat,brick,4,0.85,421000.00
Tverskoy,khrushchev,2,0.85,416100.00
Zamoskvorechye,brick,2,0.85,333500.00
Tverskoy,modern_panel,3,0.85,430500.00
Arbat,monolith,1,0.85,480900.00
Zamoskvorechye,khrushchev,2,0.86,450100.00
Arbat,brick,2,0.86,511800.00
Arbat,modern_panel,4,0.87,530000.00
Maryina Roshcha,brick,2,0.87,210100.00
Tverskoy,panel,4,0.88,544900.00
Yakimanka,monolith,1,0.89,424400.00
Presnensky,panel,2,0.89,568800.00
Tverskoy,brick,2,0.89,591100.00
Meshchansky,panel,1,0.89,261100.00
Yakimanka,monolith,1,0.9,342300.00
Tverskoy,brick,4,0.9,541400.00
Basmanny,brick,1,0.91,282500.00
Zamoskvorechye,brick,3,0.91,456600.00
Presnensky,stalin,2,0.91,712850.00
Presnensky,modern_panel,2,0.91,613000.00
Yakimanka,brick,1,0.92,844900.00
Presnensky,modern_panel,2,0.92,286400.00
Arbat,brick,1,0.92,959600.00
Arbat,panel,2,0.92,461300.00
Zamoskvorechye,monolith,1,0.93,452800.00
Yakimanka,modern_panel,2,0.93,557300.00
Zamoskvorechye,modern_panel,2,0.93,424500.00
Tverskoy,monolith,4,0.94,565800.00
Yakimanka,khrushchev,1,0.94,365000.00
Yakimanka,modern_panel,2,0.94,332200.00
Tverskoy,monolith,2,0.94,711600.00
Tagansky,khrushchev,1,0.95,445600.00
Meshchansky,monolith,1,0.95,364400.00
Presnensky,modern_panel,2,0.95,576400.00
Tagansky,brick,1,0.95,282000.00
Yakimanka,monolith,3,0.96,499600.00
Tverskoy,stalin,1,0.96,616800.00
Krasnoselsky,monolith,2,0.96,297300.00
Tverskoy,khrushchev,2,0.96,543500.00
Tverskoy,monolith,1,0.96,568600.00
Arbat,monolith,1,0.96,573400.00
Meshchansky,panel,2,0.96,292100.00
Zamoskvorechye,khrushchev,2,0.96,311800.00
Meshchansky,monolith,1,0.96,594400.00
Tverskoy,modern_panel,2,0.97,468500.00
Zamoskvorechye,brick,2,0.97,341300.00
Tverskoy,khrushchev,2,0.97,466400.00
Zamoskvorechye,monolith,1,0.97,289700.00
Tverskoy,brick,2,0.97,594600.00
Yakimanka,monolith,2,0.97,684100.00
Yakimanka,khrushchev,2,0.98,713300.00
Arbat,modern_panel,1,0.98,417100.00
Zamoskvorechye,khrushchev,2,0.98,341400.00
Tverskoy,khrushchev,2,0.98,570000.00
Yakimanka,brick,1,0.99,648700.00
Zamoskvorechye,khrushchev,2,0.99,383000.00
Arbat,panel,2,0.99,545200.00
Zamoskvorechye,brick,2,0.99,410900.00
Tverskoy,panel,2,0.99,545900.00
Presnensky,modern_panel,1,0.99,502600.00
Arbat,khrushchev,3,0.99,544100.00
Arbat,brick,2,1,572800.00
Presnensky,panel,2,1,305000.00
Zamoskvorechye,modern_panel,1,1,362700.00
Arbat,brick,3,1,634200.00
Tverskoy,monolith,1,1,515100.00
Tverskoy,panel,4,1.01,520500.00
Meshchansky,brick,3,1.01,349900.00
Zamoskvorechye,brick,2,1.01,599800.00
Meshchansky,monolith,3,1.01,521400.00
Arbat,monolith,3,1.01,466900.00
Meshchansky,panel,1,1.01,350800.00
Meshchansky,monolith,2,1.01,476100.00
Meshchansky,panel,1,1.02,655900.00
Zamoskvorechye,brick,1,1.03,518400.00
Arbat,brick,2,1.03,491200.00
Meshchansky,modern_panel,2,1.04,475600.00
Tverskoy,monolith,2,1.04,771300.00
Arbat,brick,3,1.04,730000.00
Yakimanka,brick,4,1.04,507100.00
Basmanny,monolith,2,1.05,438800.00
Arbat,modern_panel,4,1.05,414500.00
Presnensky,brick,2,1.05,744900.00
Presnensky,monolith,1,1.05,573200.00
Tverskoy,brick,2,1.06,443000.00
Arbat,panel,2,1.06,465600.00
Tverskoy,khrushchev,1,1.06,372100.00
Arbat,monolith,1,1.06,424800.00
Tverskoy,khrushchev,4,1.07,451800.00
Arbat,khrushchev,3,1.07,418900.00
Arbat,modern_panel,2,1.08,383500.00
Tverskoy,panel,1,1.09,469000.00
Yakimanka,panel,5,1.09,249400.00
Tverskoy,modern_panel,1,1.09,478200.00
Maryina Roshcha,khrushchev,2,1.1,158800.00
Zamoskvorechye,brick,3,1.11,700700.00
Presnensky,brick,1,1.12,463400.00
Yakimanka,khrushchev,2,1.12,417900.00
Zamoskvorechye,modern_panel,3,1.12,545600.00
Arbat,monolith,5,1.12,689700.00
Presnensky,khrushchev,1,1.12,370200.00
Zamoskvorechye,panel,1,1.12,372600.00
Tverskoy,stalin,3,1.13,600800.00
Yakimanka,khrushchev,1,1.13,216400.00
Arbat,modern_panel,3,1.13,386900.00
Presnensky,khrushchev,2,1.13,329000.00
Arbat,panel,2,1.14,431700.00
Zamoskvorechye,monolith,2,1.14,514400.00
Meshchansky,khrushchev,4,1.14,387800.00
Meshchansky,monolith,2,1.15,257400.00
Meshchansky,khrushchev,4,1.15,422100.00
Zamoskvorechye,khrushchev,4,1.15,390100.00
Tverskoy,brick,2,1.16,517500.00
Zamoskvorechye,brick,2,1.17,552800.00
Tverskoy,monolith,2,1.17,546500.00
Zamoskvorechye,modern_panel,2,1.17,350000.00
Arbat,monolith,4,1.17,581700.00
Danilovsky,brick,1,1.17,311700.00
Zamoskvorechye,brick,1,1.17,526600.00
Tverskoy,brick,3,1.18,505100.00
Meshchansky,khrushchev,3,1.18,228800.00
Presnensky,stalin,4,1.18,400100.00
Arbat,khrushchev,3,1.18,367000.00
Zamoskvorechye,khrushchev,2,1.18,403500.00
Arbat,monolith,1,1.18,444900.00
Meshchansky,panel,1,1.18,424200.00
