YEAR_MONTH,DISTRICT,OKRUG,N_LISTINGS_SECONDARY,N_LISTINGS_RENTAL
2020-01,Klyonovskoye,TAO,24,15
2020-01,Vostochnoye Izmaylovo,VAO,151,33
2020-01,Savyolovsky,SAO,169,39
2020-01,Butyrsky,SVAO,48,86
2020-01,Zyuzino,YuZAO,164,26
2020-01,Severnoye Izmaylovo,VAO,186,106
2020-01,Pokrovskoye-Streshnevo,SZAO,164,97
2020-01,Dorogomilovo,ZAO,79,11
2020-01,Zyablikovo,YuAO,71,104
2020-01,Orekhovo-Borisovo Severnoye,YuAO,119,61
2020-01,Voskresenskoye,NAO,195,36
2020-01,Veshnyaki,VAO,87,58
2020-01,Aeroport,SAO,150,81
2020-01,Yakimanka,CAO,183,118
2020-01,Kuntsevo,ZAO,166,94
2020-01,Sokol,SAO,123,84
2020-01,Gagarinsky,YuZAO,88,57
2020-01,Sokolinaya Gora,VAO,36,32
2020-01,Troparyovo-Nikulino,ZAO,81,42
2020-01,Otradnoye,SVAO,118,111
2020-01,Novofyodorovskoye,TAO,175,50
2020-01,Bogorodskoye,VAO,159,111
2020-01,Bibirevo,SVAO,121,48
2020-01,Vnukovskoye,NAO,180,62
2020-01,Kokoshkino,NAO,187,89
2020-01,Kotlovka,YuZAO,80,49
2020-01,Shcherbinka,NAO,34,90
2020-01,Mitino,SZAO,192,115
2020-01,Golyanovo,VAO,68,77
2020-01,Perovo,VAO,55,10
2020-01,Moskvorechye-Saburovo,YuAO,194,17
2020-01,Nagorny,YuAO,51,111
2020-01,Levoberezhny,SAO,176,23
2020-01,Shchapovskoye,TAO,22,68
2020-01,Yasenevo,YuZAO,180,82
2020-01,Begovoy,SAO,133,48
2020-01,Mozhaysky,ZAO,199,25
2020-01,Konkovo,YuZAO,175,72
2020-01,Vostochny,VAO,104,107
2020-01,Preobrazhenskoye,VAO,170,80
2020-01,Filyovsky Park,ZAO,84,65
2020-01,Ostankinsky,SVAO,181,62
2020-01,Krasnopakhorskoye,TAO,50,88
2020-01,Molzhaninovsky,SAO,184,107
2020-01,Vnukovo,ZAO,174,15
2020-01,Desyonovskoye,NAO,92,14
2020-01,Zamoskvorechye,CAO,134,66
2020-01,Chertanovo Severnoye,YuAO,188,115
2020-01,Babushkinsky,SVAO,137,14
2020-01,Chertanovo Tsentralnoye,YuAO,180,87
2020-01,Biryulyovo Zapadnoye,YuAO,68,85
2020-01,Strogino,SZAO,122,60
2020-01,Tagansky,CAO,184,50
2020-01,Severny,SVAO,147,99
2020-01,Ochakovo-Matveyevskoye,ZAO,195,76
2020-01,Meshchansky,CAO,93,85
2020-01,Shchukino,SZAO,118,29
2020-01,Alekseevsky,SVAO,27,103
2020-01,Troitsk,TAO,162,79
2020-01,Khoroshyovsky,SAO,55,76
2020-01,Brateyevo,YuAO,125,33
2020-01,Ramenki,ZAO,153,56
2020-01,Severnoye Medvedkovo,SVAO,61,62
2020-01,Prospekt Vernadskogo,ZAO,139,16
2020-01,Danilovsky,YuAO,39,53
2020-01,Tsaritsyno,YuAO,27,12
2020-01,Presnensky,CAO,155,39
2020-01,Sviblovo,SVAO,126,98
2020-01,Khoroshyovo-Mnyovniki,SZAO,39,61
2020-01,Altufyevsky,SVAO,116,30
2020-01,Voronovskoye,TAO,70,88
2020-01,Donskoy,YuAO,135,88
2020-01,Timiryazevsky,SAO,58,66
2020-01,Khamovniki,CAO,140,72
2020-01,Krasnoselsky,CAO,115,66
2020-01,Akademichesky,YuZAO,126,117
2020-01,Sokolniki,VAO,197,57
2020-01,Severnoye Tushino,SZAO,93,17
2020-01,Yaroslavsky,SVAO,110,38
2020-01,Pervomayskoye,TAO,183,94
2020-01,Zelenograd,ZelAO,31,54
2020-01,Novo-Peredelkino,ZAO,138,49
2020-01,Khovrino,SAO,70,80
2020-01,Mikhaylovo-Yartsevskoye,TAO,181,99
2020-01,Orekhovo-Borisovo Yuzhnoye,YuAO,186,113
2020-01,Tverskoy,CAO,149,71
2020-01,Yuzhnoye Medvedkovo,SVAO,160,116
2020-01,Chertanovo Yuzhnoye,YuAO,81,106
2020-01,Biryulyovo Vostochnoye,YuAO,193,104
2020-01,Kievsky,TAO,157,63
2020-01,Solntsevo,ZAO,165,49
2020-01,Rostokino,SVAO,168,81
2020-01,Rogovskoye,TAO,113,67
2020-01,Yuzhnoye Tushino,SZAO,20,36
2020-01,Ivanovskoye,VAO,49,110
2020-01,Kurkino,SZAO,169,12
2020-01,Golovinsky,SAO,171,21
2020-01,Lomonosovsky,YuZAO,123,74
2020-01,Dmitrovsky,SAO,133,38
2020-01,Filimonkovskoye,NAO,146,98
2020-01,Novogireyevo,VAO,92,79
2020-01,Kosino-Ukhtomsky,VAO,146,87
2020-01,Mosrentgen,NAO,45,15
2020-01,Koptevo,SAO,115,23
2020-01,Losinoostrovsky,SVAO,87,78
2020-01,Yuzhnoye Butovo,YuZAO,111,89
2020-01,Tyoply Stan,YuZAO,166,101
2020-01,Basmanny,CAO,23,43
2020-01,Krylatskoye,SZAO,46,28
