DISTRICT,AVG_RESALE_PRICE,AVG_RENT_PRICE
Khamovniki,533015.856777,2243.260563
Tverskoy,516581.518987,2346.201439
Arbat,514930.827068,2268.243590
Presnensky,499065.404040,2242.103226
Yakimanka,487174.540682,2174.132813
Zamoskvorechye,426045.833333,1954.101351
Meshchansky,404434.164589,1813.315068
Basmanny,370504.271357,1662.689266
Dorogomilovo,367383.415842,1663.722513
Tagansky,364963.172043,1606.315789
Krasnoselsky,363833.240223,1638.746667
Gagarinsky,309877.284595,1435.158940
Lomonosovsky,305356.009615,1474.197368
Strogino,304246.410256,1551.849315
Prospekt Vernadskogo,301854.347826,1493.452055
Ramenki,286871.842105,1313.670807
Cheryomushki,286079.899497,1400.040000
Filyovsky Park,279129.353234,1320.922535
Shchukino,276266.582278,1319.335443
Troparyovo-Nikulino,273353.658537,1380.006711
Khoroshyovsky,268751.785714,1218.104575
Begovoy,268592.857143,1230.189781
Yasenevo,264295.348837,1413.251656
Sokol,262793.627451,1249.077844
Fili-Davydkovo,259067.164179,1212.697987
Akademichesky,258921.770335,1200.220000
Krylatskoye,256954.237288,1313.715976
Donskoy,246618.032787,1064.449704
Obruchevsky,237645.698925,1200.988095
Kotlovka,236650.523560,1131.375723
Preobrazhenskoye,235591.022444,1157.658385
Sokolniki,234079.714286,1085.859756
Savyolovsky,233798.118280,1079.123377
Khoroshyovo-Mnyovniki,229263.157895,1078.380117
Danilovsky,227415.406162,1006.754839
Kuntsevo,223853.387534,1088.167883
Maryina Roshcha,222623.823529,965.819876
Nagorny,219467.968750,1038.548387
Timiryazevsky,219224.228029,1012.849315
Aeroport,218724.427481,1040.686667
Voykovsky,218059.313725,1017.189024
Zyuzino,218028.800000,1090.559006
Perovo,215967.258883,1089.798742
Alekseevsky,215135.872236,975.840000
Ostankinsky,213597.150259,1031.248366
Konkovo,206175.362319,977.944056
Mozhaysky,204530.835735,995.191489
Ochakovo-Matveyevskoye,204158.536585,990.451220
Pokrovskoye-Streshnevo,199965.789474,988.161491
