DISTRICT,AVG_RENT,AVG_RENTAL_LISTINGS
Arbat,2794.921053,63.144737
Tverskoy,2694.223684,61.131579
Presnensky,2615.500000,60.763158
Dorogomilovo,2138.394737,57.618421
Tagansky,2071.934211,64.394737
Krasnoselsky,2032.592105,58.828947
Gagarinsky,1850.263158,61.907895
Lomonosovsky,1811.552632,59.342105
Filyovsky Park,1694.394737,59.526316
Akademichesky,1622.526316,62.394737
Khoroshyovsky,1534.171053,60.184211
Kuntsevo,1502.092105,63.828947
Shchukino,1500.381579,63.289474
Khoroshyovo-Mnyovniki,1499.960526,64.565789
Cheryomushki,1490.065789,60.105263
Kotlovka,1465.039474,61.592105
Kurkino,1424.039474,56.355263
Donskoy,1416.578947,61.710526
Mozhaysky,1382.381579,62.789474
Ochakovo-Matveyevskoye,1376.394737,64.302632
Konkovo,1372.171053,63.763158
Aeroport,1353.750000,61.421053
Pokrovskoye-Streshnevo,1347.381579,63.802632
Ostankinsky,1312.276316,60.828947
Alekseevsky,1305.947368,63.184211
Maryina Roshcha,1305.473684,60.328947
Sokolniki,1284.486842,63.947368
Tyoply Stan,1262.250000,64.342105
Nagatinsky Zaton,1255.776316,62.934211
Butyrsky,1247.513158,61.263158
Severnoye Tushino,1232.513158,58.776316
Solntsevo,1219.131579,61.355263
Nagatino-Sadovniki,1189.842105,62.750000
Izmaylovo,1177.368421,63.815789
Novo-Peredelkino,1140.328947,63.184211
Babushkinsky,1099.078947,59.802632
Vostochnoye Izmaylovo,1085.000000,60.868421
Severnoye Izmaylovo,1083.434211,61.118421
Novogireyevo,1079.407895,58.473684
Perovo,1079.276316,61.855263
Severnoye Medvedkovo,1070.921053,62.342105
Yuzhnoye Medvedkovo,1068.236842,63.486842
Losinoostrovsky,1067.750000,63.776316
Moskvorechye-Saburovo,1053.671053,64.302632
Khovrino,1032.447368,57.605263
Yaroslavsky,1031.684211,61.750000
Chertanovo Tsentralnoye,1023.263158,63.934211
Altufyevsky,1002.078947,57.513158
Dmitrovsky,999.026316,58.710526
Chertanovo Yuzhnoye,959.315789,60.276316
Brateyevo,954.828947,64.486842
Zyablikovo,953.394737,57.407895
Severny,933.144737,63.447368
Biryulyovo Vostochnoye,926.631579,62.513158
Molzhaninovsky,888.710526,58.157895
Vnukovskoye,851.223684,63.723684
Mosrentgen,848.828947,63.500000
Moskovsky,848.631579,64.434211
Voskresenskoye,790.263158,64.289474
Zelenograd,703.868421,61.973684
Filimonkovskoye,700.434211,64.000000
Ryazanovskoye,669.210526,56.592105
Troitsk,584.289474,64.250000
Krasnopakhorskoye,487.342105,60.815789
Voronovskoye,437.407895,54.657895
Mikhaylovo-Yartsevskoye,437.302632,63.789474
Klyonovskoye,414.250000,62.013158
Rogovskoye,413.552632,63.223684
