DISTRICT,AVG_MORTGAGE_RATE,AVG_SECONDARY_LISTINGS
Troitsk,14.486842105,126.039474
Vostochnoye Izmaylovo,14.486842105,125.394737
Vnukovo,14.486842105,123.947368
Yuzhnoye Medvedkovo,14.486842105,122.842105
Mosrentgen,14.486842105,121.960526
Pokrovskoye-Streshnevo,14.486842105,121.013158
Yuzhnoye Tushino,14.486842105,120.223684
Mozhaysky,14.486842105,119.736842
Kuntsevo,14.486842105,119.618421
Mikhaylovo-Yartsevskoye,14.486842105,119.381579
Timiryazevsky,14.486842105,119.250000
Losinoostrovsky,14.486842105,119.236842
Nagatino-Sadovniki,14.486842105,118.118421
Golyanovo,14.486842105,116.618421
Konkovo,14.486842105,116.486842
Gagarinsky,14.486842105,115.934211
Koptevo,14.486842105,115.855263
Orekhovo-Borisovo Yuzhnoye,14.486842105,115.776316
Bibirevo,14.486842105,115.697368
Butyrsky,14.486842105,115.618421
Pervomayskoye,14.486842105,115.552632
Chertanovo Severnoye,14.486842105,115.000000
Akademichesky,14.486842105,115.000000
Bogorodskoye,14.486842105,114.750000
Altufyevsky,14.486842105,114.684211
Krasnopakhorskoye,14.486842105,114.223684
Vnukovskoye,14.486842105,114.065789
Novofyodorovskoye,14.486842105,113.710526
Biryulyovo Zapadnoye,14.486842105,113.315789
Alekseevsky,14.486842105,112.986842
Troparyovo-Nikulino,14.486842105,112.960526
Zyuzino,14.486842105,112.947368
Arbat,14.486842105,112.947368
Chertanovo Yuzhnoye,14.486842105,112.934211
Severnoye Tushino,14.486842105,112.921053
Sokol,14.486842105,112.776316
Preobrazhenskoye,14.486842105,112.750000
Donskoy,14.486842105,112.684211
Golovinsky,14.486842105,112.592105
Chertanovo Tsentralnoye,14.486842105,112.565789
Sokolniki,14.486842105,112.539474
Sosenskoye,14.486842105,112.421053
Biryulyovo Vostochnoye,14.486842105,112.171053
Zamoskvorechye,14.486842105,112.131579
Moskvorechye-Saburovo,14.486842105,112.026316
Severny,14.486842105,111.894737
Vostochny,14.486842105,111.881579
Filyovsky Park,14.486842105,111.815789
Babushkinsky,14.486842105,111.710526
Novokosino,14.486842105,111.710526
Ivanovskoye,14.486842105,111.684211
Sviblovo,14.486842105,111.592105
Filimonkovskoye,14.486842105,111.539474
Ryazanovskoye,14.486842105,111.447368
Prospekt Vernadskogo,14.486842105,111.250000
Khamovniki,14.486842105,111.210526
Khoroshyovo-Mnyovniki,14.486842105,111.157895
Yaroslavsky,14.486842105,111.078947
Solntsevo,14.486842105,110.842105
Metrogorodok,14.486842105,110.828947
Rostokino,14.486842105,110.605263
Klyonovskoye,14.486842105,110.592105
Molzhaninovsky,14.486842105,110.526316
Zapadnoye Degunino,14.486842105,110.263158
Krylatskoye,14.486842105,110.250000
Yakimanka,14.486842105,109.855263
Lomonosovsky,14.486842105,109.631579
Begovoy,14.486842105,109.578947
Zyablikovo,14.486842105,109.539474
Presnensky,14.486842105,109.526316
Kosino-Ukhtomsky,14.486842105,109.210526
Nagorny,14.486842105,109.052632
Savyolovsky,14.486842105,108.894737
Ostankinsky,14.486842105,108.868421
Marushkinskoye,14.486842105,108.855263
Veshnyaki,14.486842105,108.605263
Tsaritsyno,14.486842105,108.473684
Aeroport,14.486842105,108.434211
Tyoply Stan,14.486842105,108.368421
Kokoshkino,14.486842105,108.276316
Dorogomilovo,14.486842105,108.236842
Severnoye Butovo,14.486842105,107.815789
Lianozovo,14.486842105,107.565789
Novogireyevo,14.486842105,107.421053
Voskresenskoye,14.486842105,107.184211
Voykovsky,14.486842105,107.171053
Shchapovskoye,14.486842105,107.026316
Kievsky,14.486842105,107.013158
Tagansky,14.486842105,106.592105
Ramenki,14.486842105,106.328947
Izmaylovo,14.486842105,106.250000
Orekhovo-Borisovo Severnoye,14.486842105,106.013158
Kotlovka,14.486842105,105.960526
Krasnoselsky,14.486842105,105.855263
Tverskoy,14.486842105,105.684211
Dmitrovsky,14.486842105,105.578947
Strogino,14.486842105,105.513158
Yuzhnoye Butovo,14.486842105,105.434211
Marfino,14.486842105,105.328947
Brateyevo,14.486842105,105.223684
Khovrino,14.486842105,105.039474
Otradnoye,14.486842105,104.947368
Severnoye Medvedkovo,14.486842105,104.381579
Voronovskoye,14.486842105,104.276316
Mitino,14.486842105,104.118421
Desyonovskoye,14.486842105,103.736842
Kurkino,14.486842105,103.618421
Rogovskoye,14.486842105,102.802632
Yasenevo,14.486842105,102.618421
Khoroshyovsky,14.486842105,101.960526
Severnoye Izmaylovo,14.486842105,101.907895
Perovo,14.486842105,101.342105
Moskovsky,14.486842105,101.184211
Zelenograd,14.486842105,100.986842
Shcherbinka,14.486842105,99.986842
Levoberezhny,14.486842105,99.907895
Fili-Davydkovo,14.486842105,99.447368
Beskudnikovsky,14.486842105,99.407895
Maryina Roshcha,14.486842105,99.302632
Ochakovo-Matveyevskoye,14.486842105,99.078947
Meshchansky,14.486842105,99.078947
Shchukino,14.486842105,98.802632
Cheryomushki,14.486842105,98.407895
Nagatinsky Zaton,14.486842105,98.078947
Obruchevsky,14.486842105,98.065789
Danilovsky,14.486842105,97.381579
Novo-Peredelkino,14.486842105,96.039474
Sokolinaya Gora,14.486842105,94.539474
Basmanny,14.486842105,92.565789
