DISTRICT,BUILDING_TYPE,AVG_PRICE,PRICE_RANK
Strogino,stalin,362083.333333,1
Strogino,monolith,329632.876712,2
Strogino,brick,322080.882353,3
Strogino,modern_panel,308117.567568,4
Strogino,panel,279372.619048,5
Altufyevsky,stalin,171600.000000,1
Altufyevsky,monolith,157928.750000,2
Altufyevsky,brick,147152.459016,3
Altufyevsky,modern_panel,144515.789474,4
Altufyevsky,panel,124227.848101,5
Perovo,stalin,254292.000000,1
Perovo,monolith,235611.250000,2
Perovo,modern_panel,221123.913043,3
Perovo,brick,221089.552239,4
Perovo,panel,196150.617284,5
Brateyevo,stalin,154920.689655,1
Brateyevo,monolith,145451.685393,2
Brateyevo,brick,144966.666667,3
Brateyevo,modern_panel,129472.289157,4
Brateyevo,panel,125140.740741,5
Novogireyevo,stalin,229116.000000,1
Novogireyevo,monolith,208252.112676,2
Novogireyevo,brick,191286.301370,3
Novogireyevo,modern_panel,181288.235294,4
Novogireyevo,panel,169914.634146,5
Vnukovskoye,stalin,135704.166667,1
Vnukovskoye,monolith,117683.582090,2
Vnukovskoye,brick,112603.278689,3
Vnukovskoye,modern_panel,111946.153846,4
Vnukovskoye,panel,100363.492063,5
Voskresenskoye,stalin,131959.090909,1
Voskresenskoye,monolith,110413.432836,2
Voskresenskoye,modern_panel,100818.292683,3
Voskresenskoye,brick,100282.857143,4
Voskresenskoye,panel,92786.666667,5
Shcherbinka,stalin,127893.333333,1
Shcherbinka,monolith,111906.976744,2
Shcherbinka,brick,102154.285714,3
Shcherbinka,modern_panel,100618.181818,4
Shcherbinka,panel,89675.757576,5
Mikhaylovo-Yartsevskoye,stalin,66266.666667,1
Mikhaylovo-Yartsevskoye,monolith,61010.389610,2
Mikhaylovo-Yartsevskoye,brick,59285.714286,3
Mikhaylovo-Yartsevskoye,modern_panel,55532.584270,4
Mikhaylovo-Yartsevskoye,panel,52678.494624,5
Voronovskoye,stalin,67559.090909,1
Voronovskoye,monolith,64216.883117,2
Voronovskoye,brick,58227.777778,3
Voronovskoye,modern_panel,56533.009709,4
Voronovskoye,panel,49932.500000,5
Lianozovo,stalin,160378.947368,1
Lianozovo,monolith,155032.941176,2
Lianozovo,brick,146872.580645,3
Lianozovo,modern_panel,137047.727273,4
Lianozovo,panel,129248.750000,5
Tsaritsyno,stalin,181296.666667,1
Tsaritsyno,monolith,164314.457831,2
Tsaritsyno,brick,150575.949367,3
Tsaritsyno,modern_panel,149832.051282,4
Tsaritsyno,panel,131556.097561,5
Sviblovo,stalin,238318.518519,1
Sviblovo,monolith,201900.000000,2
Sviblovo,brick,191018.571429,3
Sviblovo,modern_panel,187070.238095,4
Sviblovo,panel,176237.647059,5
Maryina Roshcha,stalin,265380.952381,1
Maryina Roshcha,monolith,246215.853659,2
Maryina Roshcha,brick,230315.517241,3
Maryina Roshcha,modern_panel,220575.000000,4
Maryina Roshcha,panel,201630.000000,5
Zamoskvorechye,stalin,543431.578947,1
Zamoskvorechye,monolith,478843.529412,2
Zamoskvorechye,brick,455259.493671,3
Zamoskvorechye,modern_panel,415622.368421,4
Zamoskvorechye,panel,389693.421053,5
Donskoy,stalin,294980.000000,1
Donskoy,monolith,263935.714286,2
Donskoy,brick,261611.764706,3
Donskoy,modern_panel,242101.470588,4
Donskoy,panel,234776.056338,5
Babushkinsky,stalin,204796.000000,1
Babushkinsky,brick,172636.111111,2
Babushkinsky,monolith,172589.230769,3
Babushkinsky,modern_panel,157418.181818,4
Babushkinsky,panel,148257.303371,5
Novofyodorovskoye,stalin,62776.190476,1
Novofyodorovskoye,monolith,58621.276596,2
Novofyodorovskoye,brick,56333.333333,3
Novofyodorovskoye,modern_panel,52829.870130,4
Novofyodorovskoye,panel,48070.238095,5
Pokrovskoye-Streshnevo,stalin,236903.448276,1
Pokrovskoye-Streshnevo,monolith,220430.188679,2
Pokrovskoye-Streshnevo,brick,206331.746032,3
Pokrovskoye-Streshnevo,modern_panel,197514.285714,4
Pokrovskoye-Streshnevo,panel,188955.555556,5
Moskovsky,stalin,128650.000000,1
Moskovsky,monolith,117972.307692,2
