DISTRICT,AVG_PROPERTY_PRICE,AVG_MONTHLY_RENT,RENTAL_YIELD_PCT
Voronovskoye,3730954.976303,17725.675676,5.70
Marushkinskoye,5489433.673469,26050.000000,5.69
Sosenskoye,7076827.319588,33483.802817,5.68
Desyonovskoye,6720615.942029,31745.000000,5.67
Shcherbinka,6812016.000000,32110.810811,5.66
Molzhaninovsky,7648438.642298,35859.722222,5.63
Solntsevo,10760413.366337,50493.023256,5.63
Kokoshkino,5603368.983957,26262.000000,5.62
Vnukovo,9390559.055118,43880.368098,5.61
Yuzhnoye Butovo,9907095.238095,46143.225806,5.59
Vnukovskoye,7315618.497110,33977.397260,5.57
Pervomayskoye,3905657.458564,18103.225806,5.56
Mikhaylovo-Yartsevskoye,3718857.142857,17237.500000,5.56
Moskovsky,7193431.372549,33292.500000,5.55
Shchapovskoye,3765401.554404,17376.774194,5.54
Krasnopakhorskoye,4082540.540541,18779.532164,5.52
Voskresenskoye,6660082.666667,30648.101266,5.52
Troitsk,5010925.831202,22881.879195,5.48
Chertanovo Yuzhnoye,12430725.641026,56591.891892,5.46
Zelenograd,5995886.426593,27209.489051,5.45
Filimonkovskoye,6090279.301746,27586.666667,5.44
Kievsky,3552115.000000,16100.641026,5.44
Yasenevo,17337181.395349,78572.185430,5.44
Mitino,13048341.397849,59065.476190,5.43
Novofyodorovskoye,3611759.590793,16342.682927,5.43
Klyonovskoye,3514225.181598,15848.000000,5.41
Ryazanovskoye,5717535.248042,25586.250000,5.37
Rogovskoye,3592227.920228,16009.090909,5.35
Tsaritsyno,9796515.662651,43308.965517,5.31
Yaroslavsky,9568753.424658,42184.285714,5.29
Veshnyaki,9426194.300518,41364.341085,5.27
Severnoye Izmaylovo,12832853.092784,55805.185185,5.22
Biryulyovo Vostochnoye,8349575.903614,36249.295775,5.21
Novo-Peredelkino,10175428.191489,44137.313433,5.21
Severny,8158065.853659,35403.597122,5.21
Otradnoye,10316613.577023,44443.037975,5.17
Obruchevsky,15819967.741935,68082.738095,5.16
Khovrino,9520792.650919,40852.121212,5.15
Dmitrovsky,9405808.625337,40354.216867,5.15
Kurkino,12794979.328165,54542.331288,5.12
Severnoye Butovo,11281835.978836,48113.580247,5.12
Severnoye Tushino,11475007.407407,48700.645161,5.09
Losinoostrovsky,10227756.823821,43324.516129,5.08
Perovo,14332428.934010,60372.327044,5.05
Moskvorechye-Saburovo,10609366.834171,44504.705882,5.03
Novogireyevo,12404076.530612,52035.582822,5.03
